areacode	cities	locodes	state name	state	country	parent areacode	introduced	overlay
424	Los Angeles	USLAX	California	CA	US
425	Seattle	USSEA	Washington	WA	US	206	1997-04-27	No
430	Longview	USZLV	Texas	TX	US
431	Winnipeg	CAWNP	Manitoba	MB	CA
432	Midland	USMAF	Texas	TX	US
434	Lynchburg	USLYH	Virginia	VA	US
435	Park City	USPAC	Utah	UT	US	801	1997-09-21	No
437	Toronto	CATOR	Ontario	ON	CA
438	Montreal	CAMTR	Quebec	QC	CA
440	Cleveland	USCLE	Ohio	OH	US	216	1997-08-16	No
441			Bermuda	BM	BM	809	1995-10-01	No
442	Victorville	USVCV	California	CA	US
443	Baltimore	USBAL	Maryland	MD	US	410	1997-06-01	Yes
450	Laval	CALAV	Quebec	QC	CA	514	1998-06-13	No
456			Not Applicable	NA	NA
458	Eugene	USEUG	Oregon	OR	US
469	Dallas	USDAL	Texas	TX	US	214	1999-07-01	Yes
470	Atlanta	USATL	Georgia	GA	US
473			Grenada	GD	GD	809	1997-10-31	No
475	New Haven	USHVN	Connecticut	CT	US
478	Macon	USMCN	Georgia	GA	US	912	2000-08-01	No
479	Springdale	USSPZ	Arkansas	AR	US
480	Phoenix	USPHX	Arizona	AZ	US	602	1999-03-01	No
484	Philadelphia	USPHL	Pennsylvania	PA	US	610	1999-06-05	Yes
500			Not Applicable	NA	NA
501	Little Rock	USLIT	Arkansas	AR	US		1952	No
502	Louisville	USLUI	Kentucky	KY	US		1952	No
503	Portland	USPDX	Oregon	OR	US		1952	No
504	New Orleans	USMSY	Louisiana	LA	US		1952	No
505	Albuquerque	USABQ	New Mexico	NM	US		1952	No
506	Saint John	CASJB	New Brunswick	NB	CA	902	1955
507	Rochester	USRST	Minnesota	MN	US	218/612	1954
508	Boston	USBOS	Massachusetts	MA	US	617	1988-07-16
509	Spokane	USGEG	Washington	WA	US	206	1957
510	San Jose	USSJC	California	CA	US	415	1991-09-02
512	Austin	USAUS	Texas	TX	US		1952	No
513	Cincinnati	USCVG	Ohio	OH	US		1952	No
514	Montreal	CAMTR	Quebec	QC	CA		1952	No
515	Des Moines	USDSM	Iowa	IA	US		1952	No
516	Springfield Gardens	USSFG	New York	NY	US		1952	No
517	Lansing	USLAN	Michigan	MI	US		1952	No
518	Schenectady	USSCH	New York	NY	US		1952	No
519	Zurich	CAZUR	Ontario	ON	CA	416/613	1953
520	Phoenix	USPHX	Arizona	AZ	US	602	1995-03-19	No
530	Sacramento	USSAC	California	CA	US	916	1997-11-01	No
531	Lincoln	USLNK	Nebraska	NE	US
533			Not Applicable	NA	NA
534	Chippewa Falls	USCPF	Wisconsin	WI	US
539	Tulsa	USTUL	Oklahoma	OK	US
540	Fredericksburg	USFDB	Virginia	VA	US	703	1995-07-15	No
541	Eugene	USEUG	Oregon	OR	US	503	1995-11-05	No
544			Not Applicable	NA	NA
551	Newark	USEWR	New Jersey	NJ	US
559	Fresno	USFAT	California	CA	US	209	1998-11-14	No
561	West Palm Beach	USPBI	Florida	FL	US	407	1996-05-13	No
562	Los Angeles	USLAX	California	CA	US	310	1997-01-25	No
563	Davenport	USDVN	Iowa	IA	US
566			Not Applicable	NA	NA
567	Toledo	USTOL	Ohio	OH	US
570	Wilkes Barre	USWKB	Pennsylvania	PA	US	717	1998-12-05	No
571	Alexandria	USAXR	Virginia	VA	US	703	2000-03-01	Yes
573	Columbia	USCOU	Missouri	MO	US	314	1996-01-07	No
574	South Bend	USSBN	Indiana	IN	US
575	Las Cruces	USLRU	New Mexico	NM	US
577			Not Applicable	NA	NA
579	Waterloo	CAWAO	Quebec	QC	CA
580	Oklahoma City	USOKC	Oklahoma	OK	US	405	1997-11-01	No
581	Quebec	CAQUE	Quebec	QC	CA
585	Buffalo	USBUF	New York	NY	US
586	Detroit	USDET	Michigan	MI	US
587	Calgary	CACAL	Alberta	AB	CA
600			Not Applicable	NA	CA
601	Jackson	USJAN	Mississippi	MS	US		1952	No
602	Phoenix	USPHX	Arizona	AZ	US		1952	No
603	Manchester	USMHT	New Hampshire	NH	US		1952	No
604	Vancouver	CAVAN	British Columbia	BC	CA		1952	No
605	Sioux Falls	USFSD	South Dakota	SD	US		1952	No
606	Ashland	USANL	Kentucky	KY	US	502	1954
607	Binghamton	USBIO	New York	NY	US	315/716	1954
608	Madison	USMSN	Wisconsin	WI	US	414/715	1955
609	Camden	USCDE	New Jersey	NJ	US	201	1958
610	Philadelphia	USPHL	Pennsylvania	PA	US	215	1994-01-08
612	Minneapolis	USMES	Minnesota	MN	US		1952	No
613	Ottawa	CAOTT	Ontario	ON	CA		1952	No
614	Columbus	USCMH	Ohio	OH	US		1952	No
615	Nashville	USBNA	Tennessee	TN	US	901	1954
616	Grand Rapids	USGRR	Michigan	MI	US		1952	No
617	Boston	USBOS	Massachusetts	MA	US		1952	No
618	Belleville	USBLV	Illinois	IL	US		1952	No
619	San Diego	USSAN	California	CA	US	714	1982/11
620	Hutchinson	USHTK	Kansas	KS	US
622			Not Applicable	NA	NA
623	Phoenix	USPHX	Arizona	AZ	US	602	1999-03-01	No
626	Los Angeles	USLAX	California	CA	US	818	1997-06-14	No
628			California	CA	US
629			Tennessee	TN	US
630	Chicago	USCHI	Illinois	IL	US	708	1996-08-03	No
631	Deer Park	USDPK	New York	NY	US	516	1999-11-01	No
636	Saint Louis	USSTL	Missouri	MO	US	314	1999-05-22	No
639	Regina	CAREG	Saskatchewan	SK	CA
641	Beaman	USIAZ	Iowa	IA	US	515	2000-07-09	No
646	Brooklyn	USBOY	New York	NY	US	212	1999-07-01	Yes
647	Toronto	CATOR	Ontario	ON	CA
649			Turks and Caicos Islands	TC	TC	809	1997-06-01	No
650	San Jose	USSJC	California	CA	US	415	1997-08-02	No
651	Minneapolis	USMES	Minnesota	MN	US	612	1998-07-12	No
657	Long Beach	USLGB	California	CA	US
660	Otterville	USOIM	Missouri	MO	US	816	1997-10-12	No
661	Bakersfield	USBFL	California	CA	US	805	1999-02-13	No
662	Southaven	USSVQ	Mississippi	MS	US	601	1999-04-19	No
664			Mississippi	MS	US	809	1996-07-01	No
667	Baltimore	USBAL	Maryland	MD	US
669	San Jose	USSJC	California	CA	US
670	Saipan	MPSPN	Northern Mariana Islands	MP	US		1997-07-01	No
